#second	computedX	computedY	computedZ	realX	realY	realZ	witnesscount	deviation	totalDetections
15	427.62067	565.619	23.25	425.09988	564.7001	35.0	1302	2.6830588424352295	-1
45	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
75	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
105	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
135	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
165	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
195	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
225	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
255	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
285	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
315	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
345	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
375	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
405	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
435	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
465	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
495	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
525	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
555	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
585	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
615	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
645	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
675	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
705	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
735	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
765	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
795	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
825	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
855	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
885	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
915	427.62057	565.619	23.25	425.0999	564.70013	35.0	1260	2.6829232507186953	-1
